Country Name,Country Code,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
鍒氭灉锛堥噾锛?COD,NY.GDP.PCAP.CD,220.0745502,142.6781426,162.3805291,161.4915535,180.664765,203.5616689,238.4176394,267.8885088,307.3196386,280.7980515,314.5385863,364.7141918,400.0599018,431.1915282,458.0045418,467.9145805,442.3104721,436.5845347,528.2560198,557.0441613,507.5212301,558.0340773,642.6122658,627.5021817,
鍒氭灉锛堝竷锛?COG,NY.GDP.PCAP.CD,124.6596704,854.5983144,905.5381355,1016.823634,1306.101363,1799.051584,2103.582138,2206.471019,2832.091778,2271.152192,2946.557981,3396.165058,3732.327373,3697.417059,3601.236581,2439.351894,2093.107286,2211.633099,2694.434132,2488.424667,1993.586672,2516.162551,2620.838043,2477.978455,
鍝ヤ鸡姣斾簹,COL,NY.GDP.PCAP.CD,2555.00751,2472.99084,2428.929698,2311.942188,2818.571954,3456.066109,3789.853612,4769.926147,5541.836297,5250.972924,6398.295845,7400.99407,8108.598382,8279.102556,8187.208249,6248.514905,5959.842504,6479.532313,6816.968183,6472.545449,5339.687114,6222.621644,6674.596019,6947.359287
绉戞懇缃?COM,NY.GDP.PCAP.CD,,691.6999088,762.1169303,959.7878945,1091.272164,1103.206585,1154.904223,1289.736311,1455.027686,1410.30517,1386.574243,1531.437894,1490.315114,1603.327971,1615.717237,1329.370482,1365.484034,1423.924803,1540.711323,1519.263864,1527.16991,1584.124502,1489.495663,1590.312377,
浣涘緱瑙?CPV,NY.GDP.PCAP.CD,,1223.330553,1328.578743,1717.975654,1929.490815,2004.146804,2256.996662,3324.576752,3908.648858,3659.720464,3579.460061,4002.013869,3736.81517,3960.975968,3985.607065,3415.062667,3608.966066,3893.095723,4294.965105,4380.781192,3539.22662,3971.444074,4323.313627,4850.984158,
鍝ユ柉杈鹃粠鍔?CRI,NY.GDP.PCAP.CD,382.3091218,3985.129845,4067.718514,4173.148564,4431.011721,4703.007218,5256.596409,6137.711999,6937.242616,6832.698299,8265.788203,9276.391075,10126.9991,10803.2402,10911.49788,11714.7106,12091.03016,12317.09028,12590.24938,12884.686,12394.0494,12838.11854,13625.90085,16942.02681,
鍔犲嫆姣斿皬鍥?CSS,NY.GDP.PCAP.CD,374.1942848,6628.936948,6957.15483,7098.968544,7417.591195,8063.660513,9344.431642,10042.3691,10440.09329,10122.42306,10638.16939,10801.13891,11305.60619,11336.21604,11603.94055,11835.28722,11358.70308,11775.3905,12047.85281,12356.32164,10270.79047,11920.34276,15564.55762,16906.56721,
鍙ゅ反,CUB,NY.GDP.PCAP.CD,2751.381771,2842.967043,3005.211042,3202.781099,3399.219629,3786.337992,4329.98266,4807.43889,4986.124365,5089.235198,5272.267558,6104.461052,6470.836734,6828.364282,7146.704591,7727.919972,8110.55874,8610.608295,8911.46206,9232.261159,9605.261251,,,
搴撴媺绱?CUW,NY.GDP.PCAP.CD,,16609.84545,16723.69253,16695.73511,16671.34034,17032.33566,17400.16378,18005.71659,19423.33524,19540.24766,19847.23101,19426.32638,19809.82232,19721.29216,19623.02999,19361.813,18944.09615,18938.24405,19119.12439,19220.6867,16356.09336,17980.08884,20501.75228,22192.4453,
寮€鏇肩兢宀?CYM,NY.GDP.PCAP.CD,,,,,,,87085.09374,89888.26182,89655.11962,81373.57115,76837.66996,75280.96076,75101.59136,75113.73324,75845.30604,76379.20951,77802.25416,80053.94445,83865.55316,88254.29037,82338.79829,86438.44526,92202.1478,97749.5079,
